Rating Code,Rating Type,Description
"""Q1""",Medical Expert,Functions effectively as a consultant to provide optimal ethical and patient centered medical care
"""Q2""",Medical Expert,Demonstrates proficient and appropriate use of procedural skills both diagnostic and therapeutic
"""Q3""",Medical Expert,Follows appropriate infection prevention practices and serves as a role model for others
"""Q4""",Advocacy,Responds to individual patient health needs and issues as part of patient care
"""Q5""",Scientific knowledge,Is up to date on current medical knowledge and applies that knowledge in providing patient care and to promote the learning of others
"""Q6""",Professionalism,Is courteous and respectful in interactions including those that are demanding or stressful
"""Q7""",Professionalism,Demonstrates honesty and integrity
"""Q8""",Professionalism,Is approachable and responsive to concerns raised
"""Q9""",Professionalism,Responds to pages and requests in a prompt manner
"""Q10""",Communication,Communicates respectfully with other allied health professionals
"""Q11""",Communication,Provides clear explanations in response to patients and families questions
"""Q12""",Communication,Listens effectively
"""Q13""",Communication,Accepts feedback graciously
"""Q14""",Communication,Provides clear understandable instructions
"""Q15""",Collaboration,Establishes good relationships with peers and other members of the health care team
"""Q16""",Collaboration,Works constructively within the health care team to optimize patient care
"""Q17""",Collaboration,Respects the professional knowledge skills and contributions of other allied health professionals
"""Q18""",Collaboration,Takes responsibilty for actions without blaming others
"""Q19""",Management,Demonstrates strong leadership skills
"""Q20""",Management,Effectively manages the team during acute resuscitation of critically ill patients
"""Q21""",Management,Conducts daily bedside rounds in an efficient manner while still balancing teaching responsibilities
"""Q22""",Management,Makes efficient use of their time to optimize professional performance
"""Q23""",Overall Score,overall score
"""DocID""",,Physician who a participant evaluated